side,entry_time,exit_time,entry_price,exit_price,holding_bars,net_return_pct,equity_after,mfe_pct,mae_pct
long,2021-07-07 16:00:00,2021-07-07 20:00:00,1803.098,1805.138,5,-0.0938293296976922,0.8167304737414506,0.11313860921591257,-0.0016638030767013312
short,2021-07-07 20:00:00,2021-07-08 01:00:00,1805.138,1798.215,5,0.0514670227568903,0.8183355239653897,0.383516384896887,0.0
long,2021-07-08 01:00:00,2021-07-08 07:00:00,1798.215,1813.298,7,0.3754577181456664,0.8223001632679455,0.8387762308734059,-0.04710226530197925
short,2021-07-08 08:00:00,2021-07-08 14:00:00,1812.758,1796.598,7,0.33952723855168454,0.8250920963048952,0.8914593122744452,-0.24824052631404747
long,2021-07-08 14:00:00,2021-07-08 23:00:00,1796.598,1800.608,9,0.2312680093303321,0.8294770360938352,0.3924083183884264,0.0
short,2021-07-08 23:00:00,2021-07-09 00:00:00,1800.608,1806.078,2,0.41257093509259324,0.8317472744352816,0.0,-0.30378627663545377
long,2021-07-09 00:00:00,2021-07-09 01:00:00,1806.078,1806.268,2,0.23306737112800402,0.8314102764159695,0.010520032911087718,0.0
short,2021-07-09 01:00:00,2021-07-09 06:00:00,1806.268,1804.458,6,0.7088259821343312,0.837642915222173,0.4379195113903389,0.0
long,2021-07-09 06:00:00,2021-07-09 07:00:00,1804.458,1802.448,2,0.2940501891508962,0.8375172687848897,0.0,-0.11139078881303721
short,2021-07-09 09:00:00,2021-07-09 11:00:00,1802.878,1802.268,3,0.3092451026970311,0.8401072499228489,0.15308856173296137,0.0
long,2021-07-09 11:00:00,2021-07-09 13:00:00,1802.268,1808.295,3,-0.10534968612668782,0.8384725984975397,0.3344119742457963,0.0
short,2021-07-09 13:00:00,2021-07-12 13:00:00,1808.295,1805.188,22,1.2985775864874594,0.8517391482711082,0.8846454809641191,-0.20699056293358442
long,2021-07-12 13:00:00,2021-07-12 15:00:00,1805.188,1805.578,3,0.6233021076673895,0.8511836336247957,0.021604397990682145,-0.0068136947509067625
short,2021-07-12 15:00:00,2021-08-05 13:00:00,1805.578,1802.775,407,-0.1303696184292935,0.8505707799477421,0.6153154280789774,-1.4704432597206996
long,2021-08-05 13:00:00,2021-08-17 06:00:00,1802.775,1792.758,174,-0.8684218752649575,0.84384570581144,0.22592946984509865,-4.488080875317224
short,2021-08-17 06:00:00,2021-08-17 13:00:00,1792.758,1783.258,8,-0.342997325724681,0.8420735569565934,0.5299097814652098,-0.11546455238240494
long,2021-08-17 13:00:00,2021-08-18 03:00:00,1783.258,1789.298,14,0.0209837235428445,0.8455030735885272,0.4428411368405438,-0.0493478789945212
short,2021-08-18 03:00:00,2021-08-18 08:00:00,1789.298,1788.028,6,0.09563510497587746,0.8461496981855879,0.08886166530113204,-0.13301305875266234
long,2021-08-18 08:00:00,2021-08-23 03:00:00,1788.028,1787.548,63,-0.09252102084844616,0.8454691788925529,0.0531311590198813,-0.5967468070969817
short,2021-08-23 07:00:00,2021-08-25 14:00:00,1787.837,1789.045,54,0.25998867158112393,0.8476673029793835,0.19571135399927275,-1.1112869909281509
long,2021-08-25 14:00:00,2021-08-25 18:00:00,1789.045,1790.738,5,0.39362525752184574,0.8490196393683216,0.17456240619995178,0.0
short,2021-08-25 19:00:00,2021-08-26 03:00:00,1790.508,1786.928,8,0.07494300943400312,0.8496559202367499,0.19994325632725074,-0.05847502496498791
long,2021-08-26 03:00:00,2021-08-26 11:00:00,1786.928,1784.018,9,-0.010330795498603162,0.8502178204314108,0.08114484747006045,-0.1628493145778731
long,2021-08-26 12:00:00,2021-08-26 16:00:00,1785.869,1791.438,5,0.4231688706259007,0.8538156775799906,0.3997493657149631,0.0
short,2021-08-26 17:00:00,2021-09-07 20:00:00,1790.918,1795.088,180,-0.16072699008727875,0.8524433653405229,0.0,-2.2427604167248427
long,2021-09-07 20:00:00,2021-09-07 23:00:00,1795.088,1798.255,3,-0.11664664970865157,0.8511778750967528,0.17642589109838624,0.0
